produto,categoria,preco,data,regiao,quantidade,desconto,idade,sexo,campanha,mes
Cadeira,Livros,360.71406452033267,2023-08-08,Norte,2.0,0.07322596613942216,22,M,BlackFriday,8
Cadeira,Escritório,792.3912024958079,2022-10-05,Oeste,7.0,0.19737657910595213,40,F,BlackFriday,10
Camiseta,Roupas,255.67643192207137,2023-02-28,Sul,5.0,0.24745301319072938,36,F,Promocao,2
Livro,Eletrônicos,647.9906057510387,2023-07-27,Norte,9.0,0.014529527523063857,58,F,Promocao,7
Tablet,Roupas,735.6473815535306,2022-12-13,Leste,7.5,0.03751622006031328,19,F,BlackFriday,12
Fone de ouvido,Livros,128.92328942632412,2022-05-26,Leste,8.0,0.029010317310710743,35,F,Promocao,5
Cadeira,Livros,314.3641499195729,2022-04-01,Oeste,6.0,0.21707039168511036,28,F,Padrao,4
Cadeira,Roupas,534.3592829784852,2023-05-05,Sul,5.0,0.2671878096824314,62,F,Padrao,5
Mouse,Livros,682.8855589154804,2022-05-12,Sul,1.0,0.295225151369372,36,F,BlackFriday,5
Teclado,Eletrônicos,800.5820789142916,2023-10-07,Sul,2.0,0.15677606375173056,62,F,Padrao,10
Teclado,Roupas,952.0577077882859,2022-06-12,Sul,8.0,0.1842673782959576,67,M,Promocao,6
Mouse,Roupas,294.5819977433335,2023-05-20,Sul,2.0,0.08994232200742149,63,F,BlackFriday,5
Calça,Escritório,771.4230884411711,2023-06-07,Norte,4.0,0.19380639746843337,69,F,Padrao,6
Cadeira,Roupas,236.11295226682833,2023-09-13,Leste,8.0,0.07430096315265507,50,M,Padrao,9
Camiseta,Eletrônicos,513.38219274078,2023-10-14,Oeste,6.0,0.17994407080856825,58,M,Padrao,10
Laptop,Eletrônicos,860.3016532303857,2022-12-28,Sul,1.5,0.21548894148948217,35,M,BlackFriday,12
Mouse,Livros,855.4086738113427,2022-05-30,Leste,6.0,0.18262625670025812,24,F,Promocao,5
Livro,Roupas,272.3122117342863,2023-01-04,Leste,8.0,0.06479697549718573,68,M,Padrao,1
Livro,Roupas,906.8778913159856,2022-10-01,Oeste,4.0,0.0018651100032887058,40,M,Padrao,10
Smartphone,Escritório,572.1240926807641,2022-12-09,Norte,9.0,0.21108085668831006,35,M,Padrao,12
Tablet,Roupas,539.828652335128,2022-08-07,Norte,2.0,0.18735876342854835,42,M,Padrao,8
Calça,Eletrônicos,384.09697681605746,2023-08-03,Norte,2.0,0.10783429704247492,35,F,BlackFriday,8
Laptop,Escritório,657.6983757811246,2022-05-14,Leste,3.0,0.27377372640471154,45,F,Promocao,5
Calça,Livros,215.06008576881194,2022-02-25,Oeste,3.0,0.14407358835468811,37,F,BlackFriday,2
Camiseta,Roupas,605.8029380558785,2022-01-16,Leste,8.0,0.051689747434775765,59,M,Promocao,1
Cadeira,Eletrônicos,137.0190150703379,2023-11-08,Norte,4.5,0.12256014835753777,38,F,Promocao,11
Laptop,Livros,123.30365592190844,2023-07-12,Sul,8.0,0.030369111895481957,40,F,Padrao,7
Smartphone,Eletrônicos,506.9175835487877,2022-01-03,Oeste,4.0,0.11682182371500294,52,M,Promocao,1
Tablet,Eletrônicos,350.34764001060523,2023-04-10,Norte,5.0,0.22162724127976685,53,M,Promocao,4
Tablet,Escritório,255.621183397074,2023-10-27,Norte,9.0,0.12258306587308639,62,F,Padrao,10
Livro,Escritório,784.5832207651218,2023-06-25,Oeste,1.0,0.15209263200715537,40,F,Promocao,6
Laptop,Roupas,565.0862231117173,2023-05-10,Norte,8.0,0.2140665202809991,44,M,BlackFriday,5
Cadeira,Eletrônicos,485.234679034122,2023-05-01,Oeste,8.0,0.11737715752537155,53,M,BlackFriday,5
Livro,Roupas,412.1906379855907,2023-06-28,Sul,1.0,0.01127026668586588,39,F,Padrao,6
Mouse,Roupas,580.9214356005251,2022-03-29,Norte,4.0,0.1510012844410409,26,F,BlackFriday,3
Calça,Eletrônicos,886.9376422650927,2022-01-26,Oeste,2.0,0.09845162168313086,55,M,Promocao,1
Teclado,Livros,738.2140963616278,2022-11-15,Leste,1.5,0.09188690527382098,49,M,BlackFriday,11
Mouse,Eletrônicos,955.2687748841938,2023-07-20,Leste,6.0,0.13526219345987622,26,F,Padrao,7
Fone de ouvido,Escritório,690.9058534023583,2022-06-26,Sul,1.0,0.1467514096267587,60,M,BlackFriday,6
Fone de ouvido,Roupas,518.6427105102073,2022-12-04,Leste,1.5,0.1341905329014806,22,F,BlackFriday,12
Mouse,Eletrônicos,769.2740070321352,2023-02-26,Leste,1.0,0.0019793879240577517,54,F,Promocao,2
Calça,Eletrônicos,37.60144136733689,2023-08-19,Leste,6.0,0.26307225434497583,66,F,Padrao,8
Tablet,Livros,883.1637520184429,2022-08-01,Sul,7.0,0.08749748539785444,20,M,BlackFriday,8
Smartphone,Livros,591.4368866770405,2023-10-27,Sul,2.0,0.2770587638074701,52,M,Padrao,10
Tablet,Livros,843.3135710501056,2023-06-04,Leste,7.0,0.14666167420894727,25,F,Padrao,6
Laptop,Livros,272.78575837751833,2022-10-25,Norte,2.0,0.23990234218011697,34,M,Padrao,10
Livro,Roupas,772.3681634742558,2022-01-12,Sul,1.0,0.21392372497907092,46,F,BlackFriday,1
Mouse,Escritório,260.37105459172386,2023-03-05,Norte,4.0,0.2577095256631539,24,M,Padrao,3
Laptop,Escritório,593.7544760741469,2022-02-27,Sul,7.0,0.05581597678579207,41,F,Padrao,2
Cadeira,Eletrônicos,144.7533235344911,2022-12-02,Leste,7.5,0.2246560643660155,24,F,Padrao,12
Fone de ouvido,Escritório,327.48631383914807,2022-04-03,Oeste,2.0,0.16313473838638365,62,F,BlackFriday,4
Tablet,Livros,133.49819014778168,2023-06-25,Oeste,2.0,0.03756399503725267,49,F,Promocao,6
Calça,Escritório,89.28328464414399,2023-08-05,Sul,3.0,0.20603211715655312,26,F,BlackFriday,8
Livro,Eletrônicos,170.7367634459713,2022-06-26,Sul,3.0,0.02794323221408067,34,M,Padrao,6
Fone de ouvido,Roupas,456.56591465148296,2023-06-09,Oeste,6.0,0.15482122327646144,41,M,BlackFriday,6
Calça,Escritório,807.0560707152541,2023-03-14,Sul,1.0,0.10895201523670553,34,F,Promocao,3
Fone de ouvido,Livros,639.4543798771122,2022-03-31,Norte,7.0,0.015477501821106875,41,F,BlackFriday,3
Laptop,Roupas,992.1681207889003,2022-01-28,Oeste,7.0,0.293061909789558,63,F,Padrao,1
Livro,Eletrônicos,266.64325924924543,2023-12-13,Oeste,13.5,0.08687494216251965,43,M,Padrao,12
Livro,Eletrônicos,843.3972102794991,2023-06-23,Norte,1.0,0.10327317394026472,57,F,Promocao,6
Laptop,Livros,430.9767849419916,2022-08-26,Leste,5.0,0.2803569010146033,36,M,BlackFriday,8
Calça,Livros,357.5352004314366,2022-03-05,Norte,8.0,0.1628021444783548,25,M,BlackFriday,3
Laptop,Livros,813.3746409715458,2022-10-28,Sul,4.0,0.20341971930938682,56,M,BlackFriday,10
Calça,Eletrônicos,710.3943213439677,2022-01-05,Norte,1.0,0.2410559069703105,58,M,Promocao,1
Livro,Roupas,514.081420830805,2023-04-01,Oeste,3.0,0.16111874119191627,38,M,Promocao,4
Livro,Livros,367.75514142230674,2023-08-12,Oeste,8.0,0.2702965489764886,42,M,BlackFriday,8
Smartphone,Livros,620.0521717982276,2022-02-21,Leste,6.0,0.12040437410062403,44,F,Promocao,2
Calça,Roupas,706.7980567862957,2023-01-20,Norte,4.0,0.15230406628445026,26,M,Padrao,1
Smartphone,Roupas,645.7027678639299,2023-08-16,Leste,7.0,0.2552768368280722,36,F,Promocao,8
Calça,Livros,418.13763464124025,2022-10-25,Sul,8.0,0.18454298576412806,43,M,Promocao,10
Smartphone,Eletrônicos,273.0778526866983,2022-11-03,Oeste,10.5,0.03258709613024006,63,M,BlackFriday,11
Smartphone,Roupas,502.7372485153099,2023-11-17,Oeste,13.5,0.27413042618077926,19,F,Padrao,11
Cadeira,Livros,865.3259143599145,2023-03-24,Norte,4.0,0.22933492866986105,22,M,Promocao,3
Fone de ouvido,Escritório,997.5173710283402,2022-02-13,Sul,1.0,0.05978416539580325,33,F,Promocao,2
Fone de ouvido,Livros,369.7171003889041,2023-12-08,Leste,9.0,0.1287291503655501,40,F,Promocao,12
Smartphone,Escritório,68.91882765088226,2023-04-13,Leste,4.0,0.1950971646247598,32,F,Padrao,4
Camiseta,Eletrônicos,25.242436217474562,2022-02-21,Oeste,3.0,0.14947017063570486,47,F,BlackFriday,2
Smartphone,Eletrônicos,400.18070083804514,2023-03-31,Norte,2.0,0.10324560068633205,42,F,Padrao,3
Livro,Eletrônicos,599.1110233218697,2023-09-30,Norte,3.0,0.28822915160692436,45,M,Padrao,9
Smartphone,Escritório,509.7196249623585,2023-07-19,Sul,3.0,0.005256193302754064,52,F,BlackFriday,7
Mouse,Escritório,393.61355044882265,2022-11-25,Leste,1.5,0.097492408581367,62,M,BlackFriday,11
Smartphone,Eletrônicos,482.0797856473425,2023-08-24,Oeste,6.0,0.2919380654576343,62,M,Promocao,8
Teclado,Eletrônicos,901.2747276407624,2022-08-15,Oeste,6.0,0.13122876367317945,24,F,BlackFriday,8
Mouse,Escritório,903.3193348366248,2023-08-02,Leste,8.0,0.24159948915771212,27,M,Padrao,8
Tablet,Roupas,818.4964568460606,2023-07-02,Norte,5.0,0.22282357780190037,20,M,Padrao,7
Calça,Eletrônicos,627.8946095218726,2023-01-08,Leste,7.0,0.10105547569601867,40,F,Padrao,1
Fone de ouvido,Livros,48.26010925721246,2022-02-03,Sul,6.0,0.29823540017779004,20,M,Padrao,2
Tablet,Livros,251.88068707230363,2022-08-08,Leste,8.0,0.005851175140969056,60,F,Padrao,8
Smartphone,Roupas,264.60277282411937,2022-03-08,Oeste,8.0,0.2395674241774472,43,M,Promocao,3
Livro,Eletrônicos,978.0626613535613,2023-11-10,Oeste,10.5,0.04643812267195776,52,F,Promocao,11
Tablet,Roupas,311.6253929222581,2023-12-15,Sul,10.5,0.016845380357620208,41,M,Padrao,12
Camiseta,Eletrônicos,939.235511802726,2022-07-14,Norte,3.0,0.10848792491549775,58,F,Padrao,7
Calça,Escritório,701.3188273981611,2023-05-28,Oeste,2.0,0.09094548614421961,38,M,BlackFriday,5
Calça,Eletrônicos,734.74825479444,2022-10-28,Sul,2.0,0.09635041598948127,63,M,Promocao,10
Laptop,Roupas,189.47869910957226,2023-02-14,Sul,6.0,0.24757679347119352,31,M,BlackFriday,2
Calça,Livros,149.6362954560308,2023-02-02,Oeste,8.0,0.20216365535519729,42,M,Promocao,2
Mouse,Roupas,267.0104058864445,2023-10-27,Norte,7.0,0.23492654076361924,44,M,BlackFriday,10
Smartphone,Livros,123.85941491272106,2023-06-09,Sul,5.0,0.20603311602446897,59,F,BlackFriday,6
Fone de ouvido,Escritório,759.949570689403,2023-10-12,Leste,3.0,0.1459610484475266,38,F,Promocao,10
Smartphone,Livros,630.9908525444843,2023-06-15,Norte,6.0,0.023416813843243088,48,F,Promocao,6
Mouse,Roupas,766.4100365523108,2022-02-09,Leste,8.0,0.05243665502435935,34,F,Promocao,2
Tablet,Escritório,499.2139566170577,2023-03-23,Leste,3.0,0.2821401631398774,54,F,Promocao,3
Mouse,Escritório,89.16692840705443,2022-11-30,Oeste,10.5,0.03140765759771919,63,M,Padrao,11
Calça,Escritório,325.0755170138874,2023-04-03,Sul,4.0,0.06281856312382507,69,F,Promocao,4
Mouse,Eletrônicos,812.1070395902952,2023-08-24,Norte,5.0,0.036998407698590426,45,M,Padrao,8
Cadeira,Roupas,659.847136357916,2023-09-29,Leste,5.0,0.14381047920792728,69,F,BlackFriday,9
Camiseta,Eletrônicos,604.9122310856443,2023-12-25,Norte,4.5,0.07275424053762493,34,F,Promocao,12
Teclado,Livros,974.4204051398798,2022-03-16,Norte,7.0,0.22130946619613678,44,F,Promocao,3
Tablet,Livros,793.1081467706138,2022-07-14,Norte,4.0,0.020838543355877846,44,F,BlackFriday,7
Cadeira,Eletrônicos,460.3923825076274,2023-08-13,Norte,4.0,0.033700027277815126,61,F,Padrao,8
Laptop,Escritório,944.8106215483908,2023-07-29,Oeste,2.0,0.16747941022419657,34,F,Padrao,7
Teclado,Livros,898.0850705589174,2023-03-10,Leste,3.0,0.04864753589513782,68,M,Padrao,3
Mouse,Eletrônicos,480.59779797921556,2023-09-10,Leste,7.0,0.07178155176075002,43,F,BlackFriday,9
Teclado,Eletrônicos,835.5391668816447,2022-06-11,Oeste,3.0,0.21648803408087672,19,M,BlackFriday,6
Laptop,Roupas,355.601469613974,2022-10-26,Oeste,7.0,0.20215925164342927,64,M,Promocao,10
Teclado,Eletrônicos,500.0882664080056,2022-12-14,Oeste,1.5,0.017304980657479107,20,F,Padrao,12
Camiseta,Escritório,330.56127461665346,2022-06-03,Norte,6.0,0.24340874718208422,63,M,Promocao,6
Tablet,Eletrônicos,661.8788442901654,2023-09-20,Sul,8.0,0.16605845916926848,69,M,Padrao,9
Mouse,Roupas,194.9035901451451,2023-01-01,Oeste,8.0,0.20392006559482131,40,F,Padrao,1
Laptop,Livros,170.9401421425813,2023-07-24,Sul,7.0,0.12901586678744695,23,F,Promocao,7
Tablet,Escritório,425.0670509216434,2022-02-10,Sul,3.0,0.08432913687071049,23,F,Promocao,2
Laptop,Eletrônicos,275.4880442969876,2022-01-08,Leste,5.0,0.09162561597632328,44,M,BlackFriday,1
Fone de ouvido,Escritório,193.01850233203916,2022-08-08,Norte,3.0,0.09937346682939933,36,F,BlackFriday,8
Laptop,Livros,190.0414966563201,2022-03-08,Leste,1.0,0.08575865036069799,36,M,Padrao,3
Smartphone,Eletrônicos,68.68254131401108,2022-10-16,Oeste,3.0,0.23318024521687536,66,M,Padrao,10
Mouse,Eletrônicos,265.95404638567163,2023-03-18,Oeste,4.0,0.23419476363849415,56,M,BlackFriday,3
Fone de ouvido,Eletrônicos,160.93390841507428,2022-11-28,Leste,9.0,0.0025233753125064816,52,M,Promocao,11
Laptop,Eletrônicos,565.5833090276124,2023-04-19,Leste,8.0,0.010980959439915805,40,M,Promocao,4
Calça,Escritório,358.3326218737994,2022-06-02,Oeste,1.0,0.27152433640868767,63,F,BlackFriday,6
Teclado,Escritório,684.4194691732204,2022-01-27,Oeste,8.0,0.011444354624275144,34,F,Padrao,1
Mouse,Escritório,484.6834346168982,2022-03-30,Sul,4.0,0.060542369305765904,40,F,Padrao,3
Laptop,Eletrônicos,858.8137874625745,2022-10-23,Sul,6.0,0.12265754042985333,56,F,Padrao,10
Livro,Roupas,391.06476499968403,2023-02-09,Oeste,1.0,0.20771838070015475,38,F,Padrao,2
Teclado,Escritório,971.4575029093422,2023-03-09,Norte,2.0,0.10945051893689418,49,M,Padrao,3
Livro,Roupas,303.7146322006342,2023-07-19,Norte,4.0,0.02155242321665113,47,F,Promocao,7
Camiseta,Livros,272.10839718470254,2023-08-08,Leste,6.0,0.2779611470584989,51,M,Promocao,8
Fone de ouvido,Roupas,531.3128703795875,2022-10-21,Sul,8.0,0.16155963763165634,58,M,Padrao,10
Mouse,Livros,873.1856680289222,2022-03-20,Oeste,6.0,0.2434748378841594,67,M,BlackFriday,3
Calça,Eletrônicos,864.2561980703828,2023-03-28,Leste,5.0,0.2919886879156227,55,F,BlackFriday,3
Tablet,Roupas,932.5632981696215,2022-01-05,Sul,1.0,0.007281068094529652,28,F,BlackFriday,1
Calça,Livros,453.13329896865207,2022-07-01,Oeste,3.0,0.24445412999065574,34,M,BlackFriday,7
Camiseta,Eletrônicos,982.4779431925198,2023-09-07,Sul,1.0,0.09299357040082534,43,M,Promocao,9
Teclado,Eletrônicos,530.4342123429869,2022-11-27,Sul,7.5,0.10706572287757303,41,F,Padrao,11
Mouse,Escritório,442.63988933249334,2022-03-22,Leste,4.0,0.12237809350023908,56,F,Promocao,3
Camiseta,Livros,818.9304800754747,2023-02-06,Oeste,4.0,0.264533881495132,19,M,Promocao,2
Mouse,Eletrônicos,544.6957621622637,2023-03-01,Norte,5.0,0.21376339082327056,26,M,Promocao,3
Laptop,Roupas,622.8574795709487,2023-06-22,Leste,7.0,0.2928639989990659,48,M,BlackFriday,6
Calça,Livros,235.27367152388717,2022-02-08,Leste,1.0,0.19315044993268182,47,M,BlackFriday,2
Tablet,Livros,600.7094010967717,2023-08-22,Oeste,3.0,0.14876022974933062,22,M,BlackFriday,8
Smartphone,Escritório,856.15795479749,2022-11-07,Norte,10.5,0.06909448894325496,65,F,Promocao,11
Laptop,Eletrônicos,157.2161417949085,2022-09-18,Norte,3.0,0.14796284281373748,53,M,Padrao,9
Laptop,Livros,769.1545326361858,2023-04-12,Sul,5.0,0.06702076987747142,61,M,BlackFriday,4
Livro,Eletrônicos,367.0972217718212,2023-05-27,Oeste,6.0,0.09258238526206122,21,M,Padrao,5
Calça,Roupas,72.90787439528285,2023-03-22,Leste,7.0,0.24438254679506577,30,M,Padrao,3
Teclado,Escritório,80.05318352331346,2023-02-25,Oeste,5.0,0.2832563426680282,62,M,Promocao,2
Cadeira,Escritório,578.6632106505496,2022-10-16,Oeste,2.0,0.16764590157527642,35,M,BlackFriday,10
Tablet,Roupas,879.5640540921538,2022-05-27,Norte,3.0,0.22644136204863735,68,F,BlackFriday,5
Fone de ouvido,Livros,407.61563090934396,2023-02-24,Sul,6.0,0.18873075530121405,37,M,Padrao,2
Fone de ouvido,Eletrônicos,359.43134138850553,2023-01-08,Leste,8.0,0.12445834452055794,26,F,Padrao,1
Tablet,Roupas,859.5097859459954,2023-01-22,Leste,1.0,0.11366042125908692,51,F,Promocao,1
Mouse,Roupas,843.9768497008278,2022-03-17,Leste,7.0,0.051245368607054066,44,F,Padrao,3
Tablet,Livros,401.8221109157184,2022-02-03,Leste,1.0,0.24709669465415865,44,M,BlackFriday,2
Camiseta,Roupas,727.4748723193836,2023-04-26,Norte,3.0,0.19454625582307752,21,F,Promocao,4
Fone de ouvido,Livros,773.2251324442694,2023-06-15,Sul,7.0,0.09822530663301073,23,M,BlackFriday,6
Camiseta,Eletrônicos,109.27627106486283,2023-11-04,Sul,1.5,0.28532017295975587,20,M,Promocao,11
Laptop,Livros,36.06056629836542,2023-04-02,Oeste,1.0,0.26599262934195717,63,M,Padrao,4
Teclado,Livros,648.9704401684943,2022-02-27,Norte,7.0,0.2096477092623237,61,F,Promocao,2
Cadeira,Eletrônicos,564.6415005172905,2023-12-17,Sul,12.0,0.13797632171008348,32,M,Padrao,12
Fone de ouvido,Livros,467.84704247398923,2022-09-10,Leste,9.0,0.06492438597411856,42,F,Promocao,9
Fone de ouvido,Livros,768.103873835907,2023-06-23,Sul,3.0,0.2043993523128871,40,F,BlackFriday,6
Calça,Eletrônicos,961.4778943718989,2023-12-18,Oeste,9.0,0.21299514288541457,36,F,BlackFriday,12
Camiseta,Roupas,47.08504962679141,2023-03-29,Norte,2.0,0.2967803585249981,36,F,Padrao,3
Mouse,Livros,548.3507449454531,2023-01-02,Leste,6.0,0.16786880679393099,44,F,Promocao,1
Mouse,Livros,215.0691343863409,2022-11-05,Norte,6.0,0.19561887187213442,65,F,Padrao,11
Smartphone,Roupas,615.0358699266773,2022-10-20,Leste,3.0,0.18651687924962881,43,F,BlackFriday,10
Camiseta,Eletrônicos,352.4266412864489,2022-10-27,Leste,7.0,0.2088369545918403,43,M,Padrao,10
Teclado,Livros,459.5915306920383,2023-12-30,Oeste,12.0,0.2904438490896477,34,F,Padrao,12
Mouse,Escritório,812.2253804657637,2022-12-26,Oeste,6.0,0.11341180977009607,44,F,BlackFriday,12
Smartphone,Livros,348.8005870833019,2023-08-06,Sul,4.0,0.06378516730029442,56,F,BlackFriday,8
Tablet,Livros,40.395364062741564,2023-02-07,Leste,6.0,0.08545828698513043,18,F,Promocao,2
Camiseta,Livros,114.43879055780953,2023-12-14,Oeste,13.5,0.12426820794156489,31,F,BlackFriday,12
Livro,Eletrônicos,355.61673766181053,2022-03-18,Sul,2.0,0.07223790855751963,42,F,Padrao,3
Teclado,Eletrônicos,888.6687325015702,2023-12-30,Oeste,6.0,0.26251156894240757,27,M,BlackFriday,12
Camiseta,Roupas,68.65952314939307,2022-10-25,Sul,6.0,0.13482288462182132,50,F,BlackFriday,10
Camiseta,Eletrônicos,377.06990507080525,2022-04-20,Oeste,3.0,0.14152085129670952,34,F,BlackFriday,4
Calça,Livros,372.49780918983936,2023-01-01,Norte,9.0,0.08593917093560483,42,M,Padrao,1
Teclado,Livros,135.60985041583112,2022-12-18,Norte,13.5,0.25694826062232823,40,M,Padrao,12
Calça,Livros,282.1185600771357,2022-11-20,Oeste,9.0,0.29205983525418366,60,F,Padrao,11
Smartphone,Roupas,851.5072593719005,2023-04-17,Norte,2.0,0.09873432109701795,29,F,Promocao,4
Teclado,Roupas,718.9404543503647,2022-03-18,Oeste,8.0,0.04130399150342949,65,M,Padrao,3
